03.04.2021 18:20:35.512 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [5 8 10 21 24 25 28 35 38 39 44 47 52 58 64 65 66 69 70 71 76 80 86 86 92 96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.530 [main] DEBUG  BinarySearcher - Start index = 0, end index = 49
03.04.2021 18:20:35.534 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.544 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - Changed Start Index from 0 to 25
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - Changed Start Index from 25 to 25
03.04.2021 18:20:35.545 [main] DEBUG  BinarySearcher - Continue to search on the right side.
03.04.2021 18:20:35.546 [main] DEBUG  BinarySearcher - --------- And Recursion! ---------
03.04.2021 18:20:35.546 [main] DEBUG  BinarySearcher - Search key = 212 in array -> [96 100 103 113 128 128 135 145 146 149 152 164 171 177 182 185 191 197 203 209 212 220 220 231 240]
03.04.2021 18:20:35.546 [main] DEBUG  BinarySearcher - Start index = 25, end index = 49
03.04.2021 18:20:35.546 [main] DEBUG  BinarySearcher - MidIndex = 24
03.04.2021 18:20:35.546 [main] DEBUG  BinarySearcher - "Key" = 212 > 92 at index + 24
